location,reproduction_rate,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,stringency_index,population_density,diabetes_prevalence,kmeans_cluster
Slovakia,0.9855740922473013,9996.98432055749,1771.4128919860627,40.971865384615384,113.128,7.289999999999999,1
South Africa,1.0224019607843136,43922.43894736842,733.3210526315789,45.140281954887215,46.754,5.52,1
South Korea,1.0726456542502387,198192.35321100918,3824.9250764525996,41.86020696142992,527.967,6.8,1
Spain,1.1482722007722006,121722.71264367815,2559.428735632184,46.955953978907,93.105,7.170000000000001,1
Sri Lanka,0.9871104536489153,62715.793750000004,2872.6171875,53.0623317535545,341.955,10.68,1
Sweden,1.143827519379845,25459.554054054053,2413.3658301158302,38.48550529355149,24.717999999999996,4.79,1
Thailand,0.9881524926686218,245813.72758620686,3428.5137931034483,43.08173833485819,135.132,7.04,1
Timor,0.886840579710145,2132.6502100840335,1590.0,37.364678284182304,87.176,6.86,1
Togo,1.0193353783231083,3483.499492385787,393.70862944162434,45.7890019193858,143.366,6.15,1
Tunisia,0.9626331360946746,15970.991566265062,1292.5710843373495,52.146025390625,74.228,8.52,1
Turkey,0.8519627085377821,226059.2610619469,2648.877581120944,44.025661478599226,104.914,12.13,1
Uganda,0.8094644696189495,32602.45061728395,690.0148148148148,56.49124754420433,213.759,2.5,1
Ukraine,0.9738696939782823,85960.37771739131,2165.149456521739,43.475307917888564,77.39,7.11,1
United Kingdom,1.0565444015444014,247792.79734219267,3670.4950166112953,44.92183125599233,272.898,4.28,1
United States,1.0809381044487427,771667.6579247435,2324.2383124287344,50.64121647509579,35.608,10.79,1
Uruguay,1.0149901768172889,9160.620829120324,2676.442871587462,39.641772151898735,19.751,6.93,1
Vietnam,0.9429232283464567,315369.8461538462,3211.9278106508877,56.50495126705653,308.127,6.0,1
Zimbabwe,0.9776736842105264,20437.6889632107,1252.26254180602,60.9415991902834,42.729,1.82,1
